image_name,vehicle_id
029127.jpg,251
021471.jpg,331
022189.jpg,461
034258.jpg,354
024993.jpg,359
009416.jpg,431
014214.jpg,19
034426.jpg,362
002957.jpg,381
002509.jpg,358
013979.jpg,331
007559.jpg,381
028828.jpg,437
020820.jpg,354
036277.jpg,433
029018.jpg,406
015526.jpg,357
029619.jpg,407
030673.jpg,405
001396.jpg,378
019402.jpg,378
028496.jpg,263
016038.jpg,291
023106.jpg,354
035355.jpg,358
035019.jpg,273
030399.jpg,402
006840.jpg,373
022690.jpg,80
033214.jpg,445
033820.jpg,76
027957.jpg,448
033470.jpg,293
035644.jpg,313
034131.jpg,448
003893.jpg,358
018259.jpg,388
014235.jpg,392
033204.jpg,321
036240.jpg,269
025610.jpg,34
010643.jpg,357
033904.jpg,381
011197.jpg,350
022259.jpg,73
009712.jpg,82
029210.jpg,59
006255.jpg,433
023924.jpg,56
018106.jpg,384
017424.jpg,458
007098.jpg,74
000407.jpg,24
008035.jpg,402
027906.jpg,465
018450.jpg,471
025359.jpg,263
029603.jpg,384
000214.jpg,381
010309.jpg,448
036697.jpg,32
009968.jpg,279
012908.jpg,354
005359.jpg,309
020638.jpg,418
025262.jpg,361
003594.jpg,408
025586.jpg,407
034539.jpg,459
006672.jpg,467
034977.jpg,442
013849.jpg,448
003016.jpg,315
014704.jpg,392
017055.jpg,425
019531.jpg,423
012218.jpg,402
026089.jpg,408
029640.jpg,92
026987.jpg,284
034090.jpg,254
028962.jpg,433
003297.jpg,292
030597.jpg,446
016467.jpg,437
