image_name,vehicle_id
021385.jpg,38
031942.jpg,339
013812.jpg,37
001482.jpg,366
033068.jpg,429
024359.jpg,370
012858.jpg,324
022290.jpg,278
009512.jpg,89
008554.jpg,345
015635.jpg,1
024277.jpg,466
035664.jpg,397
027466.jpg,344
036257.jpg,449
024840.jpg,85
027060.jpg,27
024391.jpg,399
030703.jpg,53
000857.jpg,432
000605.jpg,272
035578.jpg,441
015516.jpg,342
031621.jpg,1
001456.jpg,44
013601.jpg,340
008778.jpg,372
017222.jpg,69
007341.jpg,346
018584.jpg,351
021532.jpg,427
018704.jpg,395
009656.jpg,275
023555.jpg,424
013338.jpg,26
009314.jpg,71
020127.jpg,422
036357.jpg,432
036221.jpg,53
011932.jpg,391
007248.jpg,317
025959.jpg,286
019199.jpg,72
000454.jpg,346
011823.jpg,65
032752.jpg,477
036242.jpg,285
011645.jpg,91
010924.jpg,281
005699.jpg,46
016736.jpg,426
036110.jpg,67
017986.jpg,44
033865.jpg,449
004336.jpg,368
030177.jpg,27
020356.jpg,89
017740.jpg,363
031388.jpg,1
032243.jpg,353
029156.jpg,464
022689.jpg,324
024215.jpg,365
010373.jpg,399
031710.jpg,311
009581.jpg,398
021196.jpg,367
024978.jpg,312
022178.jpg,342
009024.jpg,51
026031.jpg,430
024504.jpg,399
016289.jpg,387
001718.jpg,344
012780.jpg,476
034877.jpg,367
012924.jpg,245
010321.jpg,286
009931.jpg,432
021726.jpg,89
019823.jpg,1
025201.jpg,366
020416.jpg,266
030082.jpg,339
029781.jpg,77
011657.jpg,356
021715.jpg,473
021153.jpg,71
029352.jpg,470
014638.jpg,356
018880.jpg,295
036362.jpg,432
025903.jpg,71
031381.jpg,353
011609.jpg,33
014593.jpg,353
014881.jpg,349
028070.jpg,11
019264.jpg,365
006316.jpg,294
020184.jpg,77
020375.jpg,250
007785.jpg,355
017069.jpg,355
018438.jpg,267
015730.jpg,261
034262.jpg,389
015645.jpg,356
001623.jpg,57
014978.jpg,27
011640.jpg,441
031725.jpg,296
013038.jpg,415
006616.jpg,72
015919.jpg,430
024426.jpg,457
028088.jpg,68
035636.jpg,342
017499.jpg,353
031103.jpg,85
006073.jpg,7
005287.jpg,63
018594.jpg,356
002952.jpg,90
025083.jpg,342
010220.jpg,71
005015.jpg,20
027568.jpg,72
015593.jpg,432
030408.jpg,278
020793.jpg,372
036762.jpg,260
032930.jpg,53
015248.jpg,391
010525.jpg,348
002448.jpg,28
026356.jpg,432
014425.jpg,20
012458.jpg,1
017870.jpg,379
005575.jpg,473
011801.jpg,46
016686.jpg,15
025177.jpg,272
021134.jpg,13
019729.jpg,91
019526.jpg,38
012353.jpg,369
027634.jpg,272
008000.jpg,304
004761.jpg,85
032416.jpg,85
020720.jpg,432
024218.jpg,77
009821.jpg,436
012534.jpg,473
014797.jpg,22
020177.jpg,17
027337.jpg,473
009754.jpg,26
032691.jpg,281
025558.jpg,91
015814.jpg,44
023223.jpg,18
025701.jpg,285
019511.jpg,316
011344.jpg,394
004329.jpg,11
022238.jpg,26
025363.jpg,46
028509.jpg,58
026896.jpg,324
033311.jpg,412
033004.jpg,27
020658.jpg,432
004646.jpg,48
008041.jpg,344
012190.jpg,410
032168.jpg,26
011586.jpg,57
007986.jpg,66
014768.jpg,351
032639.jpg,422
033720.jpg,260
026338.jpg,1
026576.jpg,8
021339.jpg,304
029017.jpg,386
010252.jpg,7
022473.jpg,432
002346.jpg,90
013561.jpg,242
021486.jpg,366
017114.jpg,372
033331.jpg,411
000282.jpg,260
033336.jpg,18
035034.jpg,26
034979.jpg,61
007283.jpg,430
036427.jpg,340
024725.jpg,286
033153.jpg,91
003330.jpg,91
010666.jpg,17
031522.jpg,363
025734.jpg,66
021602.jpg,356
035048.jpg,447
032667.jpg,252
011831.jpg,355
004230.jpg,67
011652.jpg,16
002722.jpg,316
016393.jpg,324
011548.jpg,308
013642.jpg,368
000619.jpg,391
027348.jpg,53
013636.jpg,11
027928.jpg,344
012486.jpg,27
014002.jpg,285
000299.jpg,33
019439.jpg,259
024000.jpg,316
023049.jpg,353
005113.jpg,48
019839.jpg,15
001725.jpg,429
035980.jpg,466
025300.jpg,28
002148.jpg,46
027096.jpg,66
023696.jpg,51
028625.jpg,395
036676.jpg,473
017085.jpg,369
029290.jpg,72
028879.jpg,429
004380.jpg,64
016003.jpg,275
028611.jpg,476
005594.jpg,271
035520.jpg,51
023941.jpg,260
019761.jpg,53
006120.jpg,412
003369.jpg,430
023050.jpg,390
032165.jpg,367
000126.jpg,13
001942.jpg,69
017934.jpg,33
010675.jpg,355
007667.jpg,342
006454.jpg,440
025788.jpg,370
014010.jpg,441
