image_name,vehicle_id
020762.jpg,51
007242.jpg,11
035196.jpg,379
032375.jpg,302
013429.jpg,397
006029.jpg,376
017357.jpg,449
022930.jpg,351
017086.jpg,71
007473.jpg,334
023171.jpg,414
019727.jpg,246
001303.jpg,385
025969.jpg,58
031419.jpg,348
015255.jpg,30
006445.jpg,348
009674.jpg,33
022977.jpg,385
020082.jpg,18
028420.jpg,441
026047.jpg,330
018331.jpg,277
031113.jpg,345
021399.jpg,401
012693.jpg,334
012025.jpg,340
021777.jpg,417
033369.jpg,330
012108.jpg,303
021506.jpg,51
001854.jpg,371
017822.jpg,65
004812.jpg,416
022017.jpg,48
015256.jpg,346
000194.jpg,18
022278.jpg,244
031778.jpg,12
021238.jpg,396
032125.jpg,86
036544.jpg,30
009265.jpg,334
029298.jpg,398
000690.jpg,277
029162.jpg,316
014206.jpg,71
023522.jpg,338
014524.jpg,327
027575.jpg,416
006605.jpg,250
033228.jpg,337
018400.jpg,430
021511.jpg,449
011282.jpg,262
008641.jpg,416
032113.jpg,374
022794.jpg,262
018329.jpg,364
027199.jpg,275
010454.jpg,426
034194.jpg,264
014902.jpg,417
033993.jpg,369
033070.jpg,30
022008.jpg,16
001459.jpg,22
000020.jpg,379
031190.jpg,364
000391.jpg,299
012301.jpg,46
004071.jpg,449
004018.jpg,272
021869.jpg,277
024114.jpg,400
036453.jpg,327
033830.jpg,370
008401.jpg,385
000935.jpg,349
028021.jpg,78
032714.jpg,248
029893.jpg,343
003835.jpg,49
036208.jpg,89
026897.jpg,264
001312.jpg,396
012989.jpg,443
028514.jpg,387
024620.jpg,306
014885.jpg,42
012988.jpg,415
022570.jpg,272
017169.jpg,79
012332.jpg,320
016207.jpg,374
019446.jpg,398
018929.jpg,64
005540.jpg,390
021379.jpg,400
028104.jpg,265
015015.jpg,61
000776.jpg,250
036729.jpg,380
007629.jpg,377
016551.jpg,336
035948.jpg,336
025174.jpg,403
015714.jpg,397
002804.jpg,432
013312.jpg,347
014000.jpg,65
020541.jpg,397
016788.jpg,398
016374.jpg,390
015775.jpg,42
000091.jpg,61
002345.jpg,79
008210.jpg,71
035834.jpg,21
019263.jpg,376
008879.jpg,334
006133.jpg,411
006347.jpg,386
013566.jpg,272
015676.jpg,248
000017.jpg,277
019517.jpg,416
031055.jpg,11
017626.jpg,386
018623.jpg,369
018269.jpg,391
014766.jpg,64
005524.jpg,370
019349.jpg,308
003160.jpg,67
033103.jpg,48
022691.jpg,420
018701.jpg,265
035317.jpg,260
025631.jpg,432
035747.jpg,86
009926.jpg,338
005978.jpg,336
025067.jpg,61
022632.jpg,55
003465.jpg,416
031484.jpg,15
012175.jpg,44
006525.jpg,246
024827.jpg,400
027056.jpg,85
013317.jpg,382
022582.jpg,30
015379.jpg,344
030395.jpg,398
028198.jpg,474
013896.jpg,397
032534.jpg,262
018710.jpg,243
011492.jpg,340
000244.jpg,260
000734.jpg,348
030276.jpg,380
002821.jpg,397
020298.jpg,336
