,0,1,2,3
0,018833.jpg,1,rear,0.99763453
1,036690.jpg,3,left-front,0.97407937
2,016236.jpg,0,front,0.983657181
3,011920.jpg,3,left-front,0.999938846
4,020762.jpg,3,left-front,0.95233053
5,010841.jpg,4,left-rear,0.636727035
6,025460.jpg,5,right,0.999305725
7,012618.jpg,0,front,0.830709159
8,030552.jpg,1,rear,0.979515612
9,028806.jpg,4,left-rear,0.532923877
10,006336.jpg,1,rear,0.999788463
11,014351.jpg,0,front,0.992754877
12,036919.jpg,3,left-front,0.999428332
13,023599.jpg,4,left-rear,0.999828458
14,030089.jpg,1,rear,0.999790251
15,020568.jpg,1,rear,0.999955893
16,002704.jpg,5,right,0.999071717
17,024991.jpg,0,front,0.671237528
18,032380.jpg,1,rear,0.699765265
19,015741.jpg,1,rear,0.999953985
20,021385.jpg,5,right,0.487434983
21,027089.jpg,6,right-front,0.99778229
22,007242.jpg,3,left-front,0.992442012
23,027125.jpg,0,front,0.999762833
24,031530.jpg,0,front,0.923730791
25,021793.jpg,0,front,0.942099988
26,036239.jpg,0,front,0.978976309
27,020345.jpg,6,right-front,0.591895878
28,032323.jpg,0,front,0.985350609
29,003305.jpg,7,right-rear,0.437371552
30,036526.jpg,1,rear,0.999810636
31,001888.jpg,1,rear,0.990700185
32,024599.jpg,3,left-front,0.989658058
33,022866.jpg,0,front,0.938902855
34,035196.jpg,3,left-front,0.999572456
35,016205.jpg,0,front,0.966422677
36,025839.jpg,6,right-front,0.996587515
37,027464.jpg,6,right-front,0.790446401
38,016226.jpg,1,rear,0.999589145
39,012088.jpg,4,left-rear,0.998947322
40,000725.jpg,4,left-rear,0.999966264
41,032375.jpg,3,left-front,0.520629644
42,005624.jpg,1,rear,0.99911207
43,031942.jpg,5,right,0.98516953
44,012755.jpg,4,left-rear,0.995278597
45,021397.jpg,1,rear,0.548591971
46,013429.jpg,3,left-front,0.968151391
47,026362.jpg,1,rear,0.996319294
48,033410.jpg,3,left-front,0.908602774
49,028778.jpg,0,front,0.999384761
50,036522.jpg,3,left-front,0.985743105
51,006029.jpg,3,left-front,0.98372817
52,013922.jpg,1,rear,0.937754333
53,008278.jpg,6,right-front,0.358054519
54,013939.jpg,4,left-rear,0.999454558
55,003682.jpg,4,left-rear,0.940582037
56,010533.jpg,4,left-rear,0.998915553
57,013179.jpg,7,right-rear,0.675164998
58,017357.jpg,3,left-front,0.686395228
59,024090.jpg,3,left-front,0.995107412
60,022930.jpg,3,left-front,0.999143004
61,020932.jpg,1,rear,0.995478809
62,005839.jpg,1,rear,0.998534679
63,017841.jpg,0,front,0.998426318
64,031259.jpg,0,front,0.999697328
65,028904.jpg,0,front,0.999854803
66,009766.jpg,6,right-front,0.99982065
67,017086.jpg,3,left-front,0.88362956
68,027901.jpg,0,front,0.43745774
69,013812.jpg,5,right,0.353802621
70,026494.jpg,0,front,0.878724575
71,021469.jpg,4,left-rear,0.999949217
72,011171.jpg,0,front,0.999442637
73,007473.jpg,3,left-front,0.999553978
74,016088.jpg,6,right-front,0.610961616
75,002266.jpg,2,left,0.996955872
76,021086.jpg,4,left-rear,0.966554403
77,026935.jpg,1,rear,0.995666742
78,012070.jpg,1,rear,0.982123554
79,007640.jpg,4,left-rear,0.66577661
80,028023.jpg,0,front,0.978578269
81,033203.jpg,7,right-rear,0.762636662
82,017349.jpg,4,left-rear,0.912279487
83,030912.jpg,1,rear,0.999032617
84,026607.jpg,4,left-rear,0.955033243
85,027621.jpg,3,left-front,0.99669975
86,031370.jpg,1,rear,0.998619437
87,028805.jpg,4,left-rear,0.993298769
88,002065.jpg,0,front,0.996400476
89,027222.jpg,0,front,0.949726582
90,010633.jpg,7,right-rear,0.953748584
91,019429.jpg,3,left-front,0.875931144
92,022116.jpg,4,left-rear,0.975072563
93,021909.jpg,6,right-front,0.999700069
94,006944.jpg,7,right-rear,0.508634686
95,033449.jpg,1,rear,0.718078971
96,024558.jpg,0,front,0.985317171
97,018013.jpg,0,front,0.99110502
98,001994.jpg,0,front,0.995521426
99,019375.jpg,0,front,0.999875665
100,032646.jpg,6,right-front,0.996185243
101,024608.jpg,3,left-front,0.986287713
102,025682.jpg,4,left-rear,0.659042954
103,009693.jpg,6,right-front,0.921372473
104,006535.jpg,0,front,0.999887824
105,023171.jpg,3,left-front,0.959989369
106,004405.jpg,6,right-front,0.869925499
107,001482.jpg,5,right,0.990479648
108,017761.jpg,0,front,0.84934479
109,011659.jpg,4,left-rear,0.999942541
110,019727.jpg,3,left-front,0.999903798
111,001303.jpg,3,left-front,0.981021762
112,025969.jpg,3,left-front,0.999052942
113,027370.jpg,1,rear,0.996244431
114,006136.jpg,0,front,0.993307531
115,015249.jpg,4,left-rear,0.998314857
116,022623.jpg,4,left-rear,0.977100372
117,021902.jpg,0,front,0.954181254
118,000494.jpg,4,left-rear,0.537084877
119,026693.jpg,4,left-rear,0.997257948
120,029647.jpg,0,front,0.933564067
121,000160.jpg,4,left-rear,0.864442527
122,032496.jpg,2,left,0.999782145
123,022555.jpg,6,right-front,0.976641119
124,007506.jpg,0,front,0.999450624
125,022369.jpg,1,rear,0.999994993
126,016528.jpg,1,rear,0.662866235
127,023578.jpg,4,left-rear,0.985456049
128,015402.jpg,4,left-rear,0.936103523
129,023349.jpg,2,left,0.999937415
130,022460.jpg,3,left-front,0.568843126
131,036060.jpg,6,right-front,0.995256841
132,007221.jpg,3,left-front,0.999553025
133,002354.jpg,0,front,0.997211158
134,031419.jpg,3,left-front,0.994551957
135,010878.jpg,1,rear,0.981220365
136,015255.jpg,3,left-front,0.998353958
137,035742.jpg,0,front,0.999448836
138,024777.jpg,1,rear,0.999956846
139,032470.jpg,1,rear,0.999119222
140,007241.jpg,0,front,0.689050734
141,018730.jpg,6,right-front,0.999622345
142,035683.jpg,1,rear,0.983504951
143,004854.jpg,4,left-rear,0.999835253
144,035872.jpg,1,rear,0.992516577
145,035434.jpg,1,rear,0.999954462
146,013977.jpg,2,left,0.943899035
147,025856.jpg,3,left-front,0.997354865
148,004238.jpg,2,left,0.997618735
149,027404.jpg,6,right-front,0.89022994
150,006177.jpg,1,rear,0.999987245
151,029537.jpg,2,left,0.991128206
152,035757.jpg,1,rear,0.565923393
153,006445.jpg,3,left-front,0.998641551
154,014399.jpg,2,left,0.961586654
155,011761.jpg,4,left-rear,0.999979258
156,020646.jpg,1,rear,0.999705613
157,018344.jpg,4,left-rear,0.489984214
158,026770.jpg,1,rear,0.99994278
159,000869.jpg,1,rear,0.999963999
160,009674.jpg,3,left-front,0.993146718
161,017108.jpg,0,front,0.992745578
162,009451.jpg,1,rear,0.870472014
163,009734.jpg,4,left-rear,0.971373558
164,027611.jpg,2,left,0.997164786
165,035242.jpg,2,left,0.997091532
166,022977.jpg,3,left-front,0.992261589
167,009446.jpg,2,left,0.928892195
168,020082.jpg,3,left-front,0.953375816
169,009116.jpg,4,left-rear,0.999792874
170,026510.jpg,3,left-front,0.991943955
171,010189.jpg,7,right-rear,0.994039416
172,001937.jpg,1,rear,0.999922156
173,010320.jpg,4,left-rear,0.994515598
174,020569.jpg,6,right-front,0.999685764
175,005898.jpg,1,rear,0.9660905
176,009990.jpg,4,left-rear,0.610900283
177,014690.jpg,0,front,0.999260366
178,019254.jpg,0,front,0.986347437
179,028420.jpg,3,left-front,0.995258272
180,025146.jpg,0,front,0.972587287
181,024690.jpg,4,left-rear,0.998559296
182,027845.jpg,6,right-front,0.867927432
183,005485.jpg,3,left-front,0.999437153
184,026047.jpg,3,left-front,0.992106438
185,034794.jpg,4,left-rear,0.995343626
186,018331.jpg,3,left-front,0.640656173
