image_name,vehicle_id
035427.jpg,402
023467.jpg,435
005779.jpg,331
022207.jpg,437
004470.jpg,465
008096.jpg,76
020773.jpg,247
027393.jpg,467
020748.jpg,31
001108.jpg,425
033219.jpg,29
007703.jpg,321
016427.jpg,433
007478.jpg,402
027541.jpg,36
012764.jpg,73
027441.jpg,419
000552.jpg,471
032286.jpg,80
033017.jpg,50
002416.jpg,258
006582.jpg,9
027026.jpg,34
010428.jpg,357
024613.jpg,253
035411.jpg,82
023302.jpg,313
028452.jpg,388
015192.jpg,24
015326.jpg,56
001883.jpg,39
026243.jpg,273
010732.jpg,32
023529.jpg,315
005023.jpg,297
020955.jpg,75
025990.jpg,434
024190.jpg,247
032208.jpg,60
027654.jpg,307
006789.jpg,350
014311.jpg,357
006875.jpg,418
026820.jpg,40
035788.jpg,93
027218.jpg,282
036799.jpg,461
018191.jpg,357
021587.jpg,402
006827.jpg,445
009104.jpg,431
024325.jpg,253
028059.jpg,468
029326.jpg,297
014057.jpg,273
011986.jpg,402
011771.jpg,321
005191.jpg,381
021280.jpg,433
031148.jpg,381
020719.jpg,357
002494.jpg,315
000984.jpg,437
022555.jpg,431
032053.jpg,375
029866.jpg,469
021371.jpg,471
015668.jpg,448
015453.jpg,297
011668.jpg,392
001778.jpg,358
029129.jpg,357
006076.jpg,93
020211.jpg,10
000617.jpg,313
012034.jpg,442
033577.jpg,378
017912.jpg,373
015600.jpg,3
011456.jpg,45
000930.jpg,445
034561.jpg,253
018162.jpg,41
026983.jpg,381
001032.jpg,47
022889.jpg,354
026784.jpg,425
028841.jpg,47
000166.jpg,315
031175.jpg,31
025816.jpg,446
008963.jpg,384
010745.jpg,402
014906.jpg,321
007298.jpg,247
019433.jpg,300
030652.jpg,3
021313.jpg,19
028589.jpg,273
032580.jpg,461
027725.jpg,384
017824.jpg,425
033974.jpg,373
017697.jpg,461
025773.jpg,375
013399.jpg,273
019130.jpg,309
033768.jpg,59
009292.jpg,471
010518.jpg,373
011482.jpg,269
004465.jpg,82
018208.jpg,402
032244.jpg,433
036320.jpg,471
024792.jpg,300
012803.jpg,29
002318.jpg,435
010915.jpg,381
025062.jpg,469
002079.jpg,290
