image_name,vehicle_id
025856.jpg,263
005485.jpg,10
021271.jpg,408
001225.jpg,446
019062.jpg,47
029843.jpg,94
014104.jpg,9
015116.jpg,413
027379.jpg,433
030885.jpg,307
020710.jpg,62
034211.jpg,425
012240.jpg,40
026498.jpg,408
011775.jpg,413
023521.jpg,36
013797.jpg,459
021918.jpg,378
022308.jpg,381
036810.jpg,9
023139.jpg,405
022926.jpg,471
004461.jpg,354
032429.jpg,249
025512.jpg,34
029549.jpg,332
033745.jpg,465
007644.jpg,5
036083.jpg,47
010762.jpg,373
003273.jpg,309
012204.jpg,332
031990.jpg,413
012029.jpg,357
031375.jpg,45
014500.jpg,92
010099.jpg,358
018861.jpg,357
026491.jpg,59
013294.jpg,273
019508.jpg,407
013447.jpg,358
028202.jpg,93
036929.jpg,263
003169.jpg,378
031553.jpg,24
019330.jpg,94
033428.jpg,423
016594.jpg,36
004816.jpg,373
026394.jpg,354
022658.jpg,253
022634.jpg,375
012495.jpg,381
026458.jpg,359
020056.jpg,358
024952.jpg,39
014966.jpg,442
032653.jpg,375
023647.jpg,282
034048.jpg,74
002678.jpg,409
035730.jpg,375
030114.jpg,392
019211.jpg,74
010438.jpg,360
034102.jpg,60
032615.jpg,75
014096.jpg,413
005894.jpg,407
029177.jpg,405
000319.jpg,448
005297.jpg,435
022982.jpg,251
003546.jpg,50
016778.jpg,50
022745.jpg,359
021258.jpg,254
027983.jpg,384
017939.jpg,274
021439.jpg,273
034807.jpg,383
004384.jpg,56
015092.jpg,434
024494.jpg,384
023712.jpg,41
012905.jpg,279
014036.jpg,375
034254.jpg,359
024153.jpg,468
035789.jpg,284
004033.jpg,332
