image_name,vehicle_id
011761.jpg,39
029878.jpg,45
032511.jpg,284
000861.jpg,263
030476.jpg,75
024743.jpg,384
018611.jpg,249
005427.jpg,378
034066.jpg,373
022003.jpg,31
014220.jpg,24
024386.jpg,32
000123.jpg,459
033266.jpg,407
007054.jpg,431
030662.jpg,465
001615.jpg,5
030669.jpg,381
031984.jpg,274
001340.jpg,40
016823.jpg,60
028075.jpg,32
012020.jpg,56
029971.jpg,442
002414.jpg,378
006950.jpg,10
016245.jpg,467
019132.jpg,465
002901.jpg,74
015455.jpg,290
009840.jpg,375
003287.jpg,359
013706.jpg,73
006032.jpg,75
007956.jpg,381
013480.jpg,80
017391.jpg,407
033242.jpg,92
032156.jpg,93
033835.jpg,433
005677.jpg,413
029077.jpg,405
032498.jpg,263
024326.jpg,433
025672.jpg,45
004159.jpg,62
010035.jpg,358
030955.jpg,408
028550.jpg,273
035006.jpg,384
026841.jpg,291
018221.jpg,408
009969.jpg,423
022127.jpg,405
025055.jpg,332
014120.jpg,454
010335.jpg,10
027031.jpg,263
011233.jpg,375
010619.jpg,433
025596.jpg,413
026948.jpg,73
013002.jpg,19
002411.jpg,445
006824.jpg,34
014612.jpg,425
023314.jpg,468
031369.jpg,413
010953.jpg,50
007476.jpg,258
023059.jpg,384
014975.jpg,405
036793.jpg,74
030738.jpg,467
011294.jpg,437
032900.jpg,431
020509.jpg,268
001359.jpg,76
007435.jpg,313
033575.jpg,309
024548.jpg,298
026330.jpg,359
020160.jpg,279
029460.jpg,47
026653.jpg,254
033591.jpg,373
000135.jpg,29
028003.jpg,62
017562.jpg,407
032242.jpg,293
035331.jpg,59
011802.jpg,431
003828.jpg,435
023823.jpg,332
016213.jpg,19
002591.jpg,408
016693.jpg,392
000158.jpg,29
003013.jpg,357
020651.jpg,76
019782.jpg,284
025607.jpg,354
035377.jpg,92
028984.jpg,405
033716.jpg,41
007217.jpg,423
032976.jpg,31
001137.jpg,309
028027.jpg,80
030349.jpg,94
008860.jpg,434
014170.jpg,408
036833.jpg,9
014956.jpg,279
031363.jpg,82
006754.jpg,292
030125.jpg,36
029093.jpg,298
