image_name,vehicle_id
021128.jpg,82
029435.jpg,383
033613.jpg,407
017821.jpg,309
031567.jpg,34
027991.jpg,251
035719.jpg,360
030948.jpg,80
035781.jpg,263
014563.jpg,75
005347.jpg,274
027744.jpg,375
015107.jpg,249
026347.jpg,375
019241.jpg,94
018754.jpg,60
008989.jpg,354
020859.jpg,40
031716.jpg,413
004154.jpg,32
006123.jpg,354
009182.jpg,407
020463.jpg,445
031948.jpg,406
034989.jpg,373
032468.jpg,39
025293.jpg,263
020504.jpg,384
026749.jpg,442
003165.jpg,465
003135.jpg,392
002504.jpg,384
035985.jpg,284
003029.jpg,409
026805.jpg,31
014727.jpg,93
034537.jpg,56
014400.jpg,279
014543.jpg,251
002889.jpg,375
021946.jpg,425
027909.jpg,76
036281.jpg,9
011028.jpg,435
028335.jpg,468
002097.jpg,373
008763.jpg,405
022411.jpg,268
007481.jpg,378
009004.jpg,359
032866.jpg,361
000497.jpg,423
026051.jpg,29
001246.jpg,273
034546.jpg,359
004618.jpg,358
006656.jpg,19
032056.jpg,458
016847.jpg,434
013215.jpg,358
005670.jpg,354
006710.jpg,268
032074.jpg,373
005060.jpg,60
032786.jpg,392
023967.jpg,448
035724.jpg,405
005403.jpg,59
021045.jpg,332
019775.jpg,413
010800.jpg,408
029874.jpg,448
026914.jpg,50
036133.jpg,24
004517.jpg,358
015366.jpg,73
034840.jpg,362
017735.jpg,5
003195.jpg,378
028535.jpg,282
025666.jpg,36
003836.jpg,381
001540.jpg,408
010923.jpg,254
