image_name,vehicle_id
035427.jpg,402
023467.jpg,435
005779.jpg,331
022207.jpg,437
004470.jpg,465
008096.jpg,76
020773.jpg,247
027393.jpg,467
020748.jpg,31
001108.jpg,425
033219.jpg,29
007703.jpg,321
016427.jpg,433
007478.jpg,402
027541.jpg,36
012764.jpg,73
027441.jpg,419
000552.jpg,471
032286.jpg,80
033017.jpg,50
002416.jpg,258
006582.jpg,9
027026.jpg,34
010428.jpg,357
024613.jpg,253
035411.jpg,82
023302.jpg,313
028452.jpg,388
015192.jpg,24
015326.jpg,56
001883.jpg,39
026243.jpg,273
010732.jpg,32
023529.jpg,315
005023.jpg,297
020955.jpg,75
025990.jpg,434
024190.jpg,247
032208.jpg,60
027654.jpg,307
006789.jpg,350
014311.jpg,357
006875.jpg,418
026820.jpg,40
035788.jpg,93
027218.jpg,282
036799.jpg,461
