image_name,vehicle_id
010841.jpg,72
028806.jpg,89
023599.jpg,412
000725.jpg,51
012755.jpg,338
013939.jpg,89
003682.jpg,27
010533.jpg,363
021469.jpg,27
021086.jpg,27
007640.jpg,286
017349.jpg,452
026607.jpg,44
022116.jpg,453
011659.jpg,27
022623.jpg,264
000494.jpg,322
026693.jpg,443
000160.jpg,261
023578.jpg,261
015402.jpg,398
004854.jpg,83
018344.jpg,90
009734.jpg,27
009116.jpg,15
010320.jpg,464
009990.jpg,272
024690.jpg,336
025117.jpg,447
003478.jpg,338
022520.jpg,466
036275.jpg,326
019475.jpg,342
020179.jpg,260
013012.jpg,346
036644.jpg,336
025411.jpg,369
021193.jpg,416
032019.jpg,55
019040.jpg,346
021761.jpg,89
028450.jpg,53
010801.jpg,363
022955.jpg,20
029272.jpg,334
023105.jpg,400
031602.jpg,379
029916.jpg,2
006326.jpg,464
026517.jpg,261
014119.jpg,66
036020.jpg,20
024746.jpg,420
020596.jpg,417
004978.jpg,336
009444.jpg,377
032055.jpg,27
035124.jpg,22
012039.jpg,420
025474.jpg,288
004362.jpg,347
004846.jpg,374
024276.jpg,391
027354.jpg,385
023674.jpg,391
020245.jpg,398
024977.jpg,16
005070.jpg,70
032267.jpg,453
003087.jpg,260
004526.jpg,336
029277.jpg,371
024014.jpg,395
036626.jpg,306
033827.jpg,339
013615.jpg,308
001526.jpg,349
007848.jpg,352
025557.jpg,374
036879.jpg,447
029068.jpg,17
018483.jpg,344
019227.jpg,379
022663.jpg,333
026725.jpg,28
026988.jpg,43
014082.jpg,379
017262.jpg,22
011912.jpg,349
031860.jpg,333
005611.jpg,18
030549.jpg,451
004522.jpg,14
011376.jpg,311
022355.jpg,15
008889.jpg,462
005638.jpg,334
016063.jpg,260
026608.jpg,417
029100.jpg,1
017552.jpg,21
025119.jpg,347
013283.jpg,347
007745.jpg,464
025958.jpg,351
008758.jpg,256
017828.jpg,421
027088.jpg,270
031296.jpg,346
031898.jpg,363
033828.jpg,474
013281.jpg,14
028009.jpg,70
029667.jpg,1
035935.jpg,70
012202.jpg,339
031076.jpg,61
005941.jpg,16
015132.jpg,265
017875.jpg,90
035713.jpg,260
005495.jpg,432
031086.jpg,345
003390.jpg,259
019677.jpg,1
023267.jpg,414
013137.jpg,424
003921.jpg,395
033492.jpg,422
019665.jpg,262
023480.jpg,382
011272.jpg,317
028302.jpg,89
008833.jpg,333
024892.jpg,415
008960.jpg,42
014767.jpg,265
020512.jpg,27
017897.jpg,327
027496.jpg,261
026365.jpg,270
034100.jpg,416
034326.jpg,421
036465.jpg,347
003104.jpg,317
013445.jpg,474
029990.jpg,380
010752.jpg,396
004044.jpg,349
034869.jpg,415
015822.jpg,302
003469.jpg,387
007763.jpg,330
022111.jpg,382
000701.jpg,7
004894.jpg,89
016358.jpg,397
010581.jpg,356
020691.jpg,42
011121.jpg,441
005003.jpg,377
014711.jpg,68
004083.jpg,28
015984.jpg,339
013345.jpg,371
031235.jpg,12
034289.jpg,416
017893.jpg,364
026368.jpg,15
029052.jpg,46
008907.jpg,398
013952.jpg,55
020510.jpg,81
003411.jpg,27
035977.jpg,455
036256.jpg,299
019910.jpg,248
034387.jpg,410
013384.jpg,396
024363.jpg,11
020136.jpg,374
021489.jpg,330
033936.jpg,72
015331.jpg,391
014888.jpg,57
033395.jpg,90
004311.jpg,260
031648.jpg,382
036126.jpg,416
011971.jpg,397
025275.jpg,426
035642.jpg,451
033131.jpg,385
023403.jpg,57
029020.jpg,447
017285.jpg,395
003021.jpg,283
017982.jpg,371
021490.jpg,363
031997.jpg,339
035307.jpg,417
004163.jpg,11
002378.jpg,412
002614.jpg,44
016385.jpg,379
024141.jpg,346
029348.jpg,424
020050.jpg,424
002868.jpg,7
010835.jpg,21
022352.jpg,464
025011.jpg,87
018022.jpg,308
002603.jpg,380
016332.jpg,416
015607.jpg,260
008958.jpg,260
018114.jpg,379
027319.jpg,336
006645.jpg,424
032872.jpg,70
033724.jpg,398
018716.jpg,346
014936.jpg,305
020745.jpg,340
021866.jpg,16
013188.jpg,385
024358.jpg,243
021125.jpg,414
026729.jpg,382
005969.jpg,261
027245.jpg,270
015684.jpg,260
033723.jpg,351
032818.jpg,306
